,Unnamed: 0,id_artists,name_artists_df,id_tracks_df,name_tracks_df,duration_m,genre,popularity_tracks_df,release_year,popularity_artists_df,followers,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7707,7707,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,386RUes7n1uM1yfzgeUuwp,The Lazy Song,3.17,pop,76,2010,93.0,29899101.0,190213,0.738,0.804,-3.851,0.0621,0.332,0.0,0.279,0.949,174.943,4
7708,7708,0MmnmsAuQKRFpo6vJElcaU,Amber Run,5zT5cMnMKoyruPj13TQXGx,I Found,4.55,pop,76,2015,66.0,390211.0,273000,0.389,0.302,-12.485,0.0438,0.862,0.00567,0.104,0.234,124.956,4
7709,7709,4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,60VaORSJ5x1D4ZPSc0g2En,Bambi,3.55,pop,76,2021,74.0,1835502.0,213053,0.438,0.632,-4.447,0.0417,0.434,0.0,0.214,0.386,61.45,4
7710,7710,2hRQKC0gqlZGPrmUKbcchR,SHINee,462OPOKW0VMbvW9H7HIb0U,Don't Call Me,3.67,pop,76,2021,73.0,2259111.0,220173,0.69,0.783,-2.076,0.0641,0.0127,0.0,0.0962,0.306,82.026,4
7711,7711,7rOlQwf8OuFLFQp4aydjBt,Paloma Mami,2KfTQFFLpZhzlZATYS9job,Religiosa,2.67,pop,76,2021,73.0,895507.0,160341,0.726,0.54,-6.046,0.217,0.524,1.07e-05,0.117,0.456,92.114,4
7712,7712,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,0C4ejWmOTMv8vuYj85mf8m,S&M,4.06,pop,76,2010,92.0,42244011.0,243533,0.767,0.682,-5.02,0.042,0.0113,0.00016,0.104,0.833,127.975,4
7713,7713,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,Count on Me,3.29,pop,76,2010,93.0,29899101.0,197373,0.577,0.397,-5.98,0.028,0.84,0.0,0.0772,0.509,89.044,4
7714,7714,2WX2uTcsvV5OnS0inACecP,Birdy,4RL77hMWUq35NYnPLXBpih,Skinny Love,3.35,pop,76,2011,75.0,3239060.0,201080,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,0.169,166.467,4
7715,7715,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,4lQsB3ERTWSNaAN1IkuNRl,DDU-DU DDU-DU,3.52,pop,76,2018,87.0,20950428.0,211350,0.668,0.828,-5.034,0.0739,0.036,0.0,0.0932,0.393,140.042,4
7716,7716,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,5i7ThJfYLAzp2DyZuFpF6j,Heart Of Glass (Live from the iHeart Festival),3.56,pop,76,2020,88.0,14779387.0,213672,0.58,0.908,-5.303,0.0341,0.000335,4.84e-05,0.087,0.427,115.016,4
7717,7717,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,13Tbv4nflNxg9kYBIbJnd9,Dile a El,3.49,pop,76,2020,93.0,4438013.0,209540,0.784,0.587,-3.572,0.0767,0.375,0.00109,0.111,0.261,90.032,4
7718,7718,6fOMl44jA4Sp5b9PpYCkzz,NF,6MxMqCgqmekcr0VwSU7AVH,Time,4.01,hiphop,76,2019,88.0,5312500.0,240429,0.677,0.688,-4.058,0.0633,0.138,0.0,0.114,0.198,98.049,4
7719,7719,0JHx4h8GAtjhmHMQ68iQiU,Konfuz,14YjOD4J7N1FGZMt5N4eIs,Ратата,2.28,hiphop,76,2021,64.0,61945.0,137077,0.921,0.524,-7.074,0.0569,0.172,0.0,0.138,0.895,129.995,4
7720,7720,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,60PAzFNW3vAiAiVK6DRJfB,Day 'N' Nite (Nightmare),3.69,hiphop,76,2009,87.0,4746873.0,221240,0.88,0.443,-6.359,0.0653,0.462,7.13e-06,0.122,0.803,138.018,4
7721,7721,7dGJo4pcD2V6oG8kP0tJRR,Eminem,6cS9PmLky2NhLOhpIsUlow,Gnat,3.74,hiphop,76,2020,94.0,43747833.0,224656,0.835,0.869,-4.582,0.27,0.248,0.0,0.462,0.82,140.945,4
7722,7722,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,5FEXPoPnzueFJQCPRIrC3c,Day 'N' Nite (nightmare),3.69,hiphop,76,2009,87.0,4746873.0,221267,0.871,0.44,-6.25,0.0761,0.499,4.15e-06,0.114,0.799,137.996,4
7723,7723,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,2.61,hiphop,76,2020,84.0,832196.0,156578,0.792,0.793,-6.185,0.0841,0.0872,0.0,0.22,0.775,123.031,4
7724,7724,3TVXtAsR1Inumwj472S9r4,Drake,3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,4.29,hiphop,76,2009,98.0,54416812.0,257690,0.395,0.922,-2.176,0.375,0.19,0.0,0.134,0.558,162.361,4
7725,7725,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,393MDhe62s8hbH8ETrlxe5,Mr. Rager,4.9,hiphop,76,2010,87.0,4746873.0,294227,0.671,0.726,-8.689,0.0272,0.389,0.882,0.14,0.581,102.002,4
7726,7726,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,3.34,hiphop,76,2010,82.0,6813797.0,200173,0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,4
7727,7727,1bAftSH8umNcGZ0uyV7LMg,Duki,1VYaM9VSix6jth7nXiHvo2,Chico Estrella,2.84,hiphop,76,2021,82.0,3960273.0,170310,0.718,0.725,-4.279,0.0522,0.118,0.0,0.17,0.57,139.988,4
7728,7728,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,5A6OHHy73AR5tLxgTc98zz,Black and Yellow,3.63,hiphop,76,2011,88.0,9907667.0,217667,0.684,0.834,-4.524,0.0675,0.0646,0.0,0.271,0.538,164.02,4
7729,7729,4OBJLual30L7gRl5UkeRcT,T.I.,1IAzD1muglOxOcPbUHs70R,Whatever You Like,4.16,hiphop,76,2008,79.0,3701277.0,249533,0.68,0.687,-6.162,0.0709,0.0161,0.0,0.261,0.467,150.053,4
7730,7730,3nDNDLcZuSto4k9u4AbcLB,Marteria,0nYSnbFVX5ghrERjwVZgwZ,Niemand bringt Marten um,3.26,hiphop,76,2021,69.0,726422.0,195319,0.772,0.798,-5.166,0.262,0.0603,6.2e-05,0.13,0.53,130.023,4
7731,7731,4LLpKhyESsyAXpc4laK94U,Mac Miller,2hwOoMtWPtTSSn6WHV7Vp5,Blue World,3.49,hiphop,76,2020,87.0,5744628.0,209440,0.742,0.553,-8.98,0.419,0.389,0.0,0.0694,0.508,84.931,4
7732,7732,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,1RKUoGiLEbcXN4GY4spQDx,Clint Eastwood,5.68,hiphop,76,2001,82.0,6813797.0,340920,0.663,0.694,-8.627,0.172,0.0249,0.0,0.0698,0.524,167.964,4
7733,7733,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU",6.26,hiphop,76,2019,85.0,6122508.0,375387,0.518,0.492,-8.436,0.193,0.216,0.0012,0.146,0.471,78.848,4
7734,7734,3q7HBObVc0L8jNeTe5Gofh,50 Cent,3G0yz3DZn3lfraledmBCT0,P.I.M.P.,4.16,hiphop,76,2003,85.0,7036668.0,249480,0.712,0.772,-3.024,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,4
7735,7735,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,2.21,hiphop,76,2019,85.0,177401.0,132780,0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,4
7736,7736,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,5hTpBe8h35rJ67eAWHQsJx,Caroline,3.49,hiphop,76,2017,76.0,1566946.0,209640,0.94,0.335,-10.179,0.505,0.17,0.0,0.262,0.707,120.04,4
7737,7737,3TVXtAsR1Inumwj472S9r4,Drake,343YBumqHu19cGoGARUTsd,Fake Love,3.52,hiphop,76,2017,98.0,54416812.0,210937,0.928,0.481,-9.35,0.287,0.105,0.0,0.176,0.613,134.007,4
7738,7738,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,1e1JKLEDKP7hEQzJfNAgPl,Magnolia,3.03,hiphop,76,2017,84.0,4576430.0,181812,0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991,4
7739,7739,3TVXtAsR1Inumwj472S9r4,Drake,6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,3.66,hiphop,76,2017,98.0,54416812.0,219692,0.766,0.283,-10.33,0.0846,0.111,0.0172,0.115,0.144,97.04,4
7740,7740,1URnnhqYAYcrqrcwql10ft,21 Savage,50a8bKqlwDEqeiEknrzkTO,ball w/o you,3.25,hiphop,76,2018,87.0,9478827.0,195047,0.892,0.633,-7.471,0.0902,0.0467,0.000189,0.139,0.459,137.994,4
7741,7741,6fOMl44jA4Sp5b9PpYCkzz,NF,5DHQKZCOZhGNTbYBCekWx0,Paralyzed,4.51,hiphop,76,2015,88.0,5312500.0,270453,0.51,0.643,-6.602,0.0485,0.214,3.22e-06,0.101,0.0397,130.081,4
7742,7742,49tQo2QULno7gxHutgccqF,LANY,0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,4.78,pop,76,2018,77.0,3472299.0,286928,0.559,0.422,-11.89,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4
7743,7743,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0hyImI8JaWONOrzKH7kJsC,Tulsa Jesus Freak,3.59,pop,76,2021,89.0,12750166.0,215674,0.387,0.339,-12.962,0.0489,0.918,0.00272,0.13,0.273,137.199,4
7744,7744,7cmuxPnXRJxwuYDHfbD8Eu,Zé Felipe,1X0MaGErD8rcspqQs9s2m0,Só Tem Eu,2.74,pop,76,2020,69.0,1677917.0,164308,0.797,0.531,-10.554,0.0472,0.114,0.0,0.104,0.869,129.995,4
7745,7745,6YVMFz59CuY7ngCxTxjpxE,aespa,1t2qYCAjUAoGfeFeoBlK51,Black Mamba,2.92,pop,76,2020,63.0,320148.0,174933,0.52,0.915,-2.862,0.103,0.0618,0.000946,0.0856,0.5,90.069,4
7746,7746,0NGAZxHanS9e0iNHpR8f2W,Alok,4zzHe0vVVQwLwn1mAoKFJq,Alive (It Feels Like),2.38,house,76,2020,84.0,9863521.0,142500,0.66,0.855,-4.559,0.0317,0.0171,8.25e-05,0.374,0.616,126.035,4
7747,7747,5xSx2FM8mQnrfgM1QsHniB,Danna Paola,2D9itdl85AQVNpTfrxvUGj,Mala Fama,3.04,latin,76,2020,79.0,2571510.0,182600,0.765,0.574,-4.36,0.0926,0.182,1.04e-05,0.0567,0.815,176.001,4
7748,7748,47MpMsUfWtgyIIBEFOr4FE,Lunay,09HSL5vRZgxXmoSrDVKMDB,Sin Ropa,2.59,latin,76,2021,83.0,4287158.0,155390,0.677,0.579,-5.715,0.185,0.428,6.28e-06,0.15,0.448,175.904,4
7749,7749,1pQWsZQehhS4wavwh7Fnxd,Lenny Tavárez,4J1Xxrqi4YEhclPzYbvo6V,La Neta,2.91,latin,76,2021,87.0,1196473.0,174545,0.812,0.774,-2.081,0.275,0.134,0.00039,0.108,0.742,175.84,4
7750,7750,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,4xAJSIcCHcOCli5m325X2H,We're Good,2.76,pop,76,2021,95.0,24123468.0,165507,0.722,0.588,-5.932,0.0544,0.0319,0.0,0.183,0.59,134.01,4
7751,7751,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3KJ3opyV29269SXkPrc19l,120,2.53,latin,76,2020,98.0,32244734.0,151506,0.636,0.656,-5.542,0.0676,0.451,7.97e-06,0.287,0.439,171.918,4
7752,7752,4q3ewBCX7sLwd24euuV69X,Bad Bunny,278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,3.94,latin,76,2018,98.0,32244734.0,236216,0.826,0.449,-8.33,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
